Category,Brand ,Name ,Type ,Size,Mass,Min Allowed Hook Size,Max Allowed Hook Size,Depth,Components (Hooks) ,Restrictions,Rating (Stars), Price 
Lures,Syberia,Dragonfly Stream 2-005,Spinner,Small,7.03g,Tiny (20),Extra large (4/0),-,TRBHK101 FR S1,"""Fishing with a spinner and spinnerbait"" ability is required ",2.5,  3.15 
Lures,Syberia,Dragonfly Stream 2-006,Spinner,Small,7.03g,Tiny (20),Extra large (4/0),-,TRBHK101 FR S1,"""Fishing with a spinner and spinnerbait"" ability is required ",2.5,  3.15 
Lures,Syberia,Dragonfly Stream 2-007,Spinner,Small,7.03g,Tiny (20),Extra large (4/0),-,TRBHK101 FR S1,"""Fishing with a spinner and spinnerbait"" ability is required ",2.5,  3.15 
Lures,Syberia,Dragonfly Stream 2-008,Spinner,Small,7.03g,Tiny (20),Extra large (4/0),-,TRBHK101 FR S1,"""Fishing with a spinner and spinnerbait"" ability is required ",2.5,  3.15 
Lures,Syberia,Dragonfly bell 2 001,Spinner,Small,6g,Tiny (20),Extra large (2/0),-,TRBHK101 S5,"""Fishing with a spinner and spinnerbait"" ability is required ",3,  3.40 
Lures,Syberia,Dragonfly bell 2 002,Spinner,Small,6g,Tiny (20),Extra large (2/0),-,TRBHK101 S5,"""Fishing with a spinner and spinnerbait"" ability is required ",3,  3.40 
Lures,Syberia,Dragonfly bell 2 003,Spinner,Small,6g,Tiny (20),Extra large (2/0),-,TRBHK101 S5,"""Fishing with a spinner and spinnerbait"" ability is required ",3,  3.40 
Lures,Syberia,Dragonfly bell 2 004,Spinner,Small,6g,Tiny (20),Extra large (2/0),-,TRBHK101 S5,"""Fishing with a spinner and spinnerbait"" ability is required ",3,  3.40 
Lures,Syberia,Dragonfly bell 2 005,Spinner,Small,6g,Tiny (20),Extra large (2/0),-,TRBHK101 S5,"""Fishing with a spinner and spinnerbait"" ability is required ",3,  3.40 
Lures,Syberia,Dragonfly bell 2 006,Spinner,Small,6g,Tiny (20),Extra large (2/0),-,TRBHK101 S5,"""Fishing with a spinner and spinnerbait"" ability is required ",3,  3.40 
Lures,Syberia,Dragonfly bell 2 007,Spinner,Small,6g,Tiny (20),Extra large (2/0),-,TRBHK101 S5,"""Fishing with a spinner and spinnerbait"" ability is required ",3,  3.40 
Lures,Syberia,Dragonfly bell 4 001,Spinner,Medium,12g,Tiny (20),Extra large (4/0),-,TRBHK101 S1,"""Fishing with a spinner and spinnerbait"" ability is required ",3,  3.70 
Lures,Syberia,Dragonfly bell 4 002,Spinner,Medium,12g,Tiny (20),Extra large (4/0),-,TRBHK101 S1,"""Fishing with a spinner and spinnerbait"" ability is required ",3,  3.70 
Lures,Syberia,Dragonfly bell 4 003,Spinner,Medium,12g,Tiny (20),Extra large (4/0),-,TRBHK101 S1,"""Fishing with a spinner and spinnerbait"" ability is required ",3,  3.70 
Lures,Syberia,Dragonfly bell 4 004,Spinner,Medium,12g,Tiny (20),Extra large (4/0),-,TRBHK101 S1,"""Fishing with a spinner and spinnerbait"" ability is required ",3,  3.70 
Lures,Syberia,Dragonfly bell 4 005,Spinner,Medium,12g,Tiny (20),Extra large (4/0),-,TRBHK101 S1,"""Fishing with a spinner and spinnerbait"" ability is required ",3,  3.70 
Lures,Syberia,Dragonfly bell 4 006,Spinner,Medium,12g,Tiny (20),Extra large (4/0),-,TRBHK101 S1,"""Fishing with a spinner and spinnerbait"" ability is required ",3,  3.70 
Lures,Syberia,Dragonfly bell 4 007,Spinner,Medium,12g,Tiny (20),Extra large (4/0),-,TRBHK101 S1,"""Fishing with a spinner and spinnerbait"" ability is required ",3,  3.70 
Lures,Syberia,Dragonfly Original 3-001,Spinner,Medium,6.9g,Tiny (20),Extra large (2/0),-,TRBHK101 S1,"""Fishing with a spinner and spinnerbait"" ability is required ",2,  3.75 
Lures,Syberia,Dragonfly Original 3-002,Spinner,Medium,6.9g,Tiny (20),Extra large (2/0),-,TRBHK101 S1,"""Fishing with a spinner and spinnerbait"" ability is required ",2,  3.75 
Lures,Syberia,Dragonfly Original 3-003,Spinner,Medium,6.9g,Tiny (20),Extra large (2/0),-,TRBHK101 S1,"""Fishing with a spinner and spinnerbait"" ability is required ",2,  3.75 
Lures,Syberia,Dragonfly Original 3-004,Spinner,Medium,6.9g,Tiny (20),Extra large (2/0),-,TRBHK101 S1,"""Fishing with a spinner and spinnerbait"" ability is required ",2,  3.75 
Lures,Syberia,Dragonfly Original 3-005,Spinner,Medium,6.9g,Tiny (20),Extra large (2/0),-,TRBHK101 S1,"""Fishing with a spinner and spinnerbait"" ability is required ",2,  3.75 
Lures,Syberia,Dragonfly Original 3-006,Spinner,Medium,6.9g,Tiny (20),Extra large (2/0),-,TRBHK101 S1,"""Fishing with a spinner and spinnerbait"" ability is required ",2,  3.75 
Lures,Syberia,Dragonfly Original 3-007,Spinner,Medium,6.9g,Tiny (20),Extra large (2/0),-,TRBHK101 S1,"""Fishing with a spinner and spinnerbait"" ability is required ",2,  3.75 
Lures,Syberia,Dragonfly Original 3-008,Spinner,Medium,6.9g,Tiny (20),Extra large (2/0),-,TRBHK101 S1,"""Fishing with a spinner and spinnerbait"" ability is required ",2,  3.75 
Lures,Syberia,Dragonfly Original 3-009,Spinner,Medium,6.9g,Tiny (20),Extra large (2/0),-,TRBHK101 S1,"""Fishing with a spinner and spinnerbait"" ability is required ",2,  3.75 
Lures,Syberia,Dragonfly Stream 4-001,Spinner,Medium,16.73g,Tiny (20),Extra large (4/0),-,TRBHK101 FR S1,"""Fishing with a spinner and spinnerbait"" ability is required ",2.5,  3.85 
Lures,Syberia,Dragonfly Stream 4-002,Spinner,Medium,16.73g,Tiny (20),Extra large (4/0),-,TRBHK101 FR S1,"""Fishing with a spinner and spinnerbait"" ability is required ",2.5,  3.85 
Lures,Syberia,Dragonfly Stream 4-003,Spinner,Medium,16.73g,Tiny (20),Extra large (4/0),-,TRBHK101 FR S1,"""Fishing with a spinner and spinnerbait"" ability is required ",2.5,  3.85 
Lures,Syberia,Dragonfly Stream 4-004,Spinner,Medium,16.73g,Tiny (20),Extra large (4/0),-,TRBHK101 FR S1,"""Fishing with a spinner and spinnerbait"" ability is required ",2.5,  3.85 
Lures,Syberia,Dragonfly Stream 4-005,Spinner,Medium,16.73g,Tiny (20),Extra large (4/0),-,TRBHK101 FR S1,"""Fishing with a spinner and spinnerbait"" ability is required ",2.5,  3.85 
Lures,Syberia,Dragonfly Stream 4-006,Spinner,Medium,16.73g,Tiny (20),Extra large (4/0),-,TRBHK101 FR S1,"""Fishing with a spinner and spinnerbait"" ability is required ",2.5,  3.85 
Lures,Syberia,Dragonfly Stream 4-007,Spinner,Medium,16.73g,Tiny (20),Extra large (4/0),-,TRBHK101 FR S1,"""Fishing with a spinner and spinnerbait"" ability is required ",2.5,  3.85 
Lures,Syberia,Dragonfly Stream 4-008,Spinner,Medium,16.73g,Tiny (20),Extra large (4/0),-,TRBHK101 FR S1,"""Fishing with a spinner and spinnerbait"" ability is required ",2.5,  3.85 
Lures,Syberia,Dragonfly bell 6 001,Spinner,Big,18.05g,Tiny (20),Extra large (6/0),-,TRBHK101 S2/0,"""Fishing with a spinner and spinnerbait"" ability is required ",3,  4.35 
Lures,Syberia,Dragonfly bell 6 002,Spinner,Big,18.05g,Tiny (20),Extra large (6/0),-,TRBHK101 S2/0,"""Fishing with a spinner and spinnerbait"" ability is required ",3,  4.35 
Lures,Syberia,Dragonfly bell 6 003,Spinner,Big,18.05g,Tiny (20),Extra large (6/0),-,TRBHK101 S2/0,"""Fishing with a spinner and spinnerbait"" ability is required ",3,  4.35 
Lures,Syberia,Dragonfly bell 6 004,Spinner,Big,18.05g,Tiny (20),Extra large (6/0),-,TRBHK101 S2/0,"""Fishing with a spinner and spinnerbait"" ability is required ",3,  4.35 
Lures,Syberia,Dragonfly bell 6 005,Spinner,Big,18.05g,Tiny (20),Extra large (6/0),-,TRBHK101 S2/0,"""Fishing with a spinner and spinnerbait"" ability is required ",3,  4.35 
Lures,Syberia,Dragonfly bell 6 006,Spinner,Big,18.05g,Tiny (20),Extra large (6/0),-,TRBHK101 S2/0,"""Fishing with a spinner and spinnerbait"" ability is required ",3,  4.35 
Lures,Syberia,Dragonfly bell 6 007,Spinner,Big,18.05g,Tiny (20),Extra large (6/0),-,TRBHK101 S2/0,"""Fishing with a spinner and spinnerbait"" ability is required ",3,  4.35 
Lures,Heaven Creek,Classica 1-001,Spinner,Small,2.95g,Small (14),Large (1),-,Happy Three TRPL-10 S8,"""Fishing with a spinner and spinnerbait"" ability is required ",4,  14.90 
Lures,Heaven Creek,Classica 1-002,Spinner,Small,2.95g,Small (14),Large (1),-,Happy Three TRPL-10 S8,"""Fishing with a spinner and spinnerbait"" ability is required ",4,  14.90 
Lures,Heaven Creek,Classica 1-003,Spinner,Small,2.95g,Small (14),Large (1),-,Happy Three TRPL-10 S8,"""Fishing with a spinner and spinnerbait"" ability is required ",4,  14.90 
Lures,Heaven Creek,Classica 1-004,Spinner,Small,2.95g,Small (14),Large (1),-,Happy Three TRPL-10 S8,"""Fishing with a spinner and spinnerbait"" ability is required ",4,  14.90 
Lures,Heaven Creek,Classica 1-005,Spinner,Small,2.95g,Small (14),Large (1),-,Happy Three TRPL-10 S8,"""Fishing with a spinner and spinnerbait"" ability is required ",4,  14.90 
Lures,Heaven Creek,Classica 1-006,Spinner,Small,2.95g,Small (14),Large (1),-,Happy Three TRPL-10 S8,"""Fishing with a spinner and spinnerbait"" ability is required ",4,  14.90 
Lures,Heaven Creek,Classica 1-007,Spinner,Small,2.95g,Small (14),Large (1),-,Happy Three TRPL-10 S8,"""Fishing with a spinner and spinnerbait"" ability is required ",4,  14.90 
Lures,Heaven Creek,Classica 1-008,Spinner,Small,2.95g,Small (14),Large (1),-,Happy Three TRPL-10 S8,"""Fishing with a spinner and spinnerbait"" ability is required ",4,  14.90 
Lures,Heaven Creek,Classica 1-009,Spinner,Small,2.95g,Small (14),Large (1),-,Happy Three TRPL-10 S8,"""Fishing with a spinner and spinnerbait"" ability is required ",4,  14.90 
Lures,Heaven Creek,Classica 1-010,Spinner,Small,2.95g,Small (14),Large (1),-,Happy Three TRPL-10 S8,"""Fishing with a spinner and spinnerbait"" ability is required ",4,  14.90 
Lures,Heaven Creek,Classica 1-001,Spinner,Small,2.95g,Small (14),Large (1),-,Happy Three TRPL-10 S8,"""Fishing with a spinner and spinnerbait"" ability is required ",4,  14.90 
Lures,Heaven Creek,Classica 3-001,Spinner,Medium,6g,Small (14),Extra large (2/0),-,Happy Three TRPL-10 S1,"""Fishing with a spinner and spinnerbait"" ability is required ",4,  15.75 
Lures,Heaven Creek,Classica 3-003,Spinner,Medium,6g,Small (14),Extra large (2/0),-,Happy Three TRPL-10 S1,"""Fishing with a spinner and spinnerbait"" ability is required ",4,  15.75 
Lures,Heaven Creek,Classica 3-004,Spinner,Medium,6g,Small (14),Extra large (2/0),-,Happy Three TRPL-10 S1,"""Fishing with a spinner and spinnerbait"" ability is required ",4,  15.75 
Lures,Heaven Creek,Classica 3-005,Spinner,Medium,6g,Small (14),Extra large (2/0),-,Happy Three TRPL-10 S1,"""Fishing with a spinner and spinnerbait"" ability is required ",4,  15.75 
Lures,Heaven Creek,Classica 3-006,Spinner,Medium,6g,Small (14),Extra large (2/0),-,Happy Three TRPL-10 S1,"""Fishing with a spinner and spinnerbait"" ability is required ",4,  15.75 
Lures,Heaven Creek,Classica 3-007,Spinner,Medium,6g,Small (14),Extra large (2/0),-,Happy Three TRPL-10 S1,"""Fishing with a spinner and spinnerbait"" ability is required ",4,  15.75 
Lures,Heaven Creek,Classica 3-008,Spinner,Medium,6g,Small (14),Extra large (2/0),-,Happy Three TRPL-10 S1,"""Fishing with a spinner and spinnerbait"" ability is required ",4,  15.75 
Lures,Heaven Creek,Classica 3-009,Spinner,Medium,6g,Small (14),Extra large (2/0),-,Happy Three TRPL-10 S1,"""Fishing with a spinner and spinnerbait"" ability is required ",4,  15.75 
Lures,Heaven Creek,Classica 3-010,Spinner,Medium,6g,Small (14),Extra large (2/0),-,Happy Three TRPL-10 S1,"""Fishing with a spinner and spinnerbait"" ability is required ",4,  15.75 
Lures,Heaven Creek,Spin-Shot 1-001,Spinner,Small,3.45g,Small (16),Large (1),-,Happy Three TRPL-10 S8,"""Fishing with a spinner and spinnerbait"" ability is required ",4,  16.45 
Lures,Heaven Creek,Spin-Shot 1-002,Spinner,Small,3.45g,Small (16),Large (1),-,Happy Three TRPL-10 S8,"""Fishing with a spinner and spinnerbait"" ability is required ",4,  16.45 
Lures,Heaven Creek,Spin-Shot 1-003,Spinner,Small,3.45g,Small (16),Large (1),-,Happy Three TRPL-10 S8,"""Fishing with a spinner and spinnerbait"" ability is required ",4,  16.45 
Lures,Heaven Creek,Spin-Shot 1-004,Spinner,Small,3.45g,Small (16),Large (1),-,Happy Three TRPL-10 S8,"""Fishing with a spinner and spinnerbait"" ability is required ",4,  16.45 
Lures,Heaven Creek,Spin-Shot 3-001,Spinner,Medium,9.5g,Small (16),Extra large (2/0),-,Happy Three TRPL-10 S1,"""Fishing with a spinner and spinnerbait"" ability is required ",4,  16.45 
Lures,Heaven Creek,Spin-Shot 3-002,Spinner,Medium,9.5g,Small (16),Extra large (2/0),-,Happy Three TRPL-10 S1,"""Fishing with a spinner and spinnerbait"" ability is required ",4,  16.45 
Lures,Heaven Creek,Spin-Shot 3-003,Spinner,Medium,9.5g,Small (16),Extra large (2/0),-,Happy Three TRPL-10 S1,"""Fishing with a spinner and spinnerbait"" ability is required ",4,  16.45 
Lures,Heaven Creek,Spin-Shot 3-004,Spinner,Medium,9.5g,Small (16),Extra large (2/0),-,Happy Three TRPL-10 S1,"""Fishing with a spinner and spinnerbait"" ability is required ",4,  16.45 
Lures,Heaven Creek,Spin-Shot 5-001,Spinner,Big,17.45g,Small (16),Extra Large (6/0),-,Happy Three TRPL-10 S1/0,"""Fishing with a spinner and spinnerbait"" ability is required ",4,  16.45 
Lures,Heaven Creek,Spin-Shot 5-002,Spinner,Big,17.45g,Small (16),Extra Large (6/0),-,Happy Three TRPL-10 S1/0,"""Fishing with a spinner and spinnerbait"" ability is required ",4,  16.45 
Lures,Heaven Creek,Spin-Shot 5-003,Spinner,Big,17.45g,Small (16),Extra Large (6/0),-,Happy Three TRPL-10 S1/0,"""Fishing with a spinner and spinnerbait"" ability is required ",4,  16.45 
Lures,Heaven Creek,Spin-Shot 5-004,Spinner,Big,17.45g,Small (16),Extra Large (6/0),-,Happy Three TRPL-10 S1/0,"""Fishing with a spinner and spinnerbait"" ability is required ",4,  16.45 
Lures,Heaven Creek,Elegance-Spin 1-001,Spinner,Small,3.9g,Small (16),Large (1),-,Happy Three TRPL-10 S8,"""Fishing with a spinner and spinnerbait"" ability is required ",3.5,  18.55 
Lures,Heaven Creek,Elegance-Spin 1-002,Spinner,Small,3.9g,Small (16),Large (1),-,Happy Three TRPL-10 S8,"""Fishing with a spinner and spinnerbait"" ability is required ",3.5,  18.55 
Lures,Heaven Creek,Elegance-Spin 1-003,Spinner,Small,3.9g,Small (16),Large (1),-,Happy Three TRPL-10 S8,"""Fishing with a spinner and spinnerbait"" ability is required ",3.5,  18.55 
Lures,Heaven Creek,Elegance-Spin 1-004,Spinner,Small,3.9g,Small (16),Large (1),-,Happy Three TRPL-10 S8,"""Fishing with a spinner and spinnerbait"" ability is required ",3.5,  18.55 
Lures,Heaven Creek,Elegance-Spin 1-005,Spinner,Small,3.9g,Small (16),Large (1),-,Happy Three TRPL-10 S8,"""Fishing with a spinner and spinnerbait"" ability is required ",3.5,  18.55 
Lures,Heaven Creek,Elegance-Spin 1-006,Spinner,Small,3.9g,Small (16),Large (1),-,Happy Three TRPL-10 S8,"""Fishing with a spinner and spinnerbait"" ability is required ",3.5,  18.55 
Lures,Heaven Creek,Elegance-Spin 1-007,Spinner,Small,3.9g,Small (16),Large (1),-,Happy Three TRPL-10 S8,"""Fishing with a spinner and spinnerbait"" ability is required ",3.5,  18.55 
Lures,Heaven Creek,Elegance-Spin 1-008,Spinner,Small,3.9g,Small (16),Large (1),-,Happy Three TRPL-10 S8,"""Fishing with a spinner and spinnerbait"" ability is required ",3.5,  18.55 
Lures,Heaven Creek,Elegance-Spin 1-009,Spinner,Small,3.9g,Small (16),Large (1),-,Happy Three TRPL-10 S8,"""Fishing with a spinner and spinnerbait"" ability is required ",3.5,  18.55 
Lures,Kiruuna,Aikkila 4g-001,Spinner,Small,4.04g,Small (12),Extra large (2/0),-,Rage Treble S8,"""Fishing with a spinner and spinnerbait"" ability is required ",4.5,  25.90 
Lures,Kiruuna,Aikkila 4g-002,Spinner,Small,4.04g,Small (12),Extra large (2/0),-,Rage Treble S8,"""Fishing with a spinner and spinnerbait"" ability is required ",4.5,  25.90 
Lures,Kiruuna,Aikkila 4g-003,Spinner,Small,4.04g,Small (12),Extra large (2/0),-,Rage Treble S8,"""Fishing with a spinner and spinnerbait"" ability is required ",4.5,  25.90 
Lures,Kiruuna,Aikkila 4g-004,Spinner,Small,4.04g,Small (12),Extra large (2/0),-,Rage Treble S8,"""Fishing with a spinner and spinnerbait"" ability is required ",4.5,  25.90 
Lures,Kiruuna,Aikkila 4g-005,Spinner,Small,4.04g,Small (12),Extra large (2/0),-,Rage Treble S8,"""Fishing with a spinner and spinnerbait"" ability is required ",4.5,  25.90 
Lures,Kiruuna,Aikkila 4g-006,Spinner,Small,4.04g,Small (12),Extra large (2/0),-,Rage Treble S8,"""Fishing with a spinner and spinnerbait"" ability is required ",4.5,  25.90 
Lures,Kiruuna,Aikkila 4g-007,Spinner,Small,4.04g,Small (12),Extra large (2/0),-,Rage Treble S8,"""Fishing with a spinner and spinnerbait"" ability is required ",4.5,  25.90 
Lures,Kiruuna,Aikkila 4g-008,Spinner,Small,4.04g,Small (12),Extra large (2/0),-,Rage Treble S8,"""Fishing with a spinner and spinnerbait"" ability is required ",4.5,  25.90 
Lures,Kiruuna,Aikkila 4g-009,Spinner,Small,4.04g,Small (12),Extra large (2/0),-,Rage Treble S8,"""Fishing with a spinner and spinnerbait"" ability is required ",4.5,  25.90 
Lures,Kiruuna,Aikkila 4g-010,Spinner,Small,4.04g,Small (12),Extra large (2/0),-,Rage Treble S8,"""Fishing with a spinner and spinnerbait"" ability is required ",4.5,  25.90 
Lures,Kiruuna,Aikkila 7g-001,Spinner,Medium,7.05g,Small (12),Extra large (2/0),-,Rage Treble S2,"""Fishing with a spinner and spinnerbait"" ability is required ",4.5,  27.80 
Lures,Kiruuna,Aikkila 7g-002,Spinner,Medium,7.05g,Small (12),Extra large (2/0),-,Rage Treble S2,"""Fishing with a spinner and spinnerbait"" ability is required ",4.5,  27.80 
Lures,Kiruuna,Aikkila 7g-003,Spinner,Medium,7.05g,Small (12),Extra large (2/0),-,Rage Treble S2,"""Fishing with a spinner and spinnerbait"" ability is required ",4.5,  27.80 
Lures,Kiruuna,Aikkila 7g-004,Spinner,Medium,7.05g,Small (12),Extra large (2/0),-,Rage Treble S2,"""Fishing with a spinner and spinnerbait"" ability is required ",4.5,  27.80 
Lures,Kiruuna,Aikkila 7g-005,Spinner,Medium,7.05g,Small (12),Extra large (2/0),-,Rage Treble S2,"""Fishing with a spinner and spinnerbait"" ability is required ",4.5,  27.80 
Lures,Kiruuna,Aikkila 7g-006,Spinner,Medium,7.05g,Small (12),Extra large (2/0),-,Rage Treble S2,"""Fishing with a spinner and spinnerbait"" ability is required ",4.5,  27.80 
Lures,Kiruuna,Aikkila 7g-007,Spinner,Medium,7.05g,Small (12),Extra large (2/0),-,Rage Treble S2,"""Fishing with a spinner and spinnerbait"" ability is required ",4.5,  27.80 
Lures,Kiruuna,Aikkila 7g-008,Spinner,Medium,7.05g,Small (12),Extra large (2/0),-,Rage Treble S2,"""Fishing with a spinner and spinnerbait"" ability is required ",4.5,  27.80 
Lures,Kiruuna,Aikkila 7g-009,Spinner,Medium,7.05g,Small (12),Extra large (2/0),-,Rage Treble S2,"""Fishing with a spinner and spinnerbait"" ability is required ",4.5,  27.80 
Lures,Kiruuna,Aikkila 7g-010,Spinner,Medium,7.05g,Small (12),Extra large (2/0),-,Rage Treble S2,"""Fishing with a spinner and spinnerbait"" ability is required ",4.5,  27.80 
Lures,Kalmar Lures,Vibra Spinner S1-01,Spinner,Small,3.94g,Small (12),Large (4),-,Rage Treble S8,"""Fishing with a spinner and spinnerbait"" ability is required ",5,  34.80 
Lures,Kalmar Lures,Vibra Spinner S1-02,Spinner,Small,3.94g,Small (12),Large (4),-,Rage Treble S8,"""Fishing with a spinner and spinnerbait"" ability is required ",5,  34.80 
Lures,Kalmar Lures,Vibra Spinner S1-03,Spinner,Small,3.94g,Small (12),Large (4),-,Rage Treble S8,"""Fishing with a spinner and spinnerbait"" ability is required ",5,  34.80 
Lures,Kalmar Lures,Vibra Spinner S1-04,Spinner,Small,3.94g,Small (12),Large (4),-,Rage Treble S8,"""Fishing with a spinner and spinnerbait"" ability is required ",5,  34.80 
Lures,Kalmar Lures,Vibra Spinner S1-05,Spinner,Small,3.94g,Small (12),Large (4),-,Rage Treble S8,"""Fishing with a spinner and spinnerbait"" ability is required ",5,  34.80 
Lures,Kalmar Lures,Vibra Spinner S1-06,Spinner,Small,3.94g,Small (12),Large (4),-,Rage Treble S8,"""Fishing with a spinner and spinnerbait"" ability is required ",5,  34.80 
Lures,Kalmar Lures,Vibra Spinner S3-01,Spinner,Medium,8g,Medium (6),Large (1),-,Rage Treble S2,"""Fishing with a spinner and spinnerbait"" ability is required ",5,  39.80 
Lures,Kalmar Lures,Vibra Spinner S3-02,Spinner,Medium,8g,Medium (6),Large (1),-,Rage Treble S2,"""Fishing with a spinner and spinnerbait"" ability is required ",5,  39.80 
Lures,Kalmar Lures,Vibra Spinner S3-03,Spinner,Medium,8g,Medium (6),Large (1),-,Rage Treble S2,"""Fishing with a spinner and spinnerbait"" ability is required ",5,  39.80 
