,,,,
,,,,
Top Links,You can find this spreadsheet at http://www.rf4.fish,,,
RF4 Official User Guide,https://rf4game.com/userguide/,,,
RF4 Waterbodies Guides (Good General Info For Species and Spot Ideas),https://rf4game.com/forum/index.php?/forum/195-waterbodies/,,,
RF4 Forum Hotspots Rework Page,https://rf4game.com/forum/index.php?/topic/27843-hotspots-reworks/,,,
User Submitted Spots and Knowledge Base/Maps,https://rufish4.ru/en,,,
RF4 BiliBili - Pikehunter Captain - Reel Stats,https://space.bilibili.com/118535546/dynamic,,,
Chinese RF Info Site (Old),https://www.rf4.com.cn/,,,
Chinese RF4 Guides (Old),https://www.bilibili.com/read/cv8782933,,,
Chinese Baidu RF4 Forum,https://tieba.baidu.com/f?kw=%E4%BF%84%E7%BD%97%E6%96%AF%E9%92%93%E9%B1%BC4&ie=utf-8,,,
,,,,
RF4 Tier Lists,,,,
https://tiermaker.com/create/russian-fishing-4-maps-16476843,,,,
https://tiermaker.com/create/russian-fishing-4-baits-16476843,,,,
https://tiermaker.com/create/fishing-simulator-games-16476843,,,,
,,,,
English RF4 Streamers,,,,
https://www.twitch.tv/mdawggaming,,,,
https://www.twitch.tv/tretika,,,,
https://www.youtube.com/c/DaveTormala,,,,
https://www.twitch.tv/xiix_denise_xiix,,,,
https://www.twitch.tv/mur1cajake,,,,
https://www.twitch.tv/rangler8,,,,
https://www.twitch.tv/cypher_x9,,,,
,,,,
Funny Clips,,,,
https://www.twitch.tv/siggior/clip/BlazingCourteousPeafowlHoneyBadger,,,,
https://www.twitch.tv/leonius__/clip/UninterestedEnticingHumanBlargNaut-zt8p21lnqsZZCayP?filter=clips&range=all&sort=time,,,,
