Category,Brand ,Name ,Type ,Color,Length,Diameter,Load Capacity,Rating (Stars),Player Level, Price 
Lines,Simmons,Mono SS - 9lb Blue,Nylon monofilament ,Blue,100m,0.19mm,4.2kg,4,10,  32.80 
Lines,Simmons,Mono SS - 15lb Blue,Nylon monofilament ,Blue,100m,0.24mm,7kg,4,10,  32.80 
Lines,Simmons,Mono SS - 23lb Blue,Nylon monofilament ,Blue,100m,0.3mm,10.4kg,4,10,  32.80 
Lines,Simmons,Mono SS - 33lb Blue,Nylon monofilament ,Blue,100m,0.36mm,15kg,4,10,  32.80 
Lines,Simmons,Mono SS - 50lb Blue,Nylon monofilament ,Blue,100m,0.48mm,23kg,4,10,  32.80 
Lines,Simmons,Mono SS - 60lb Blue,Nylon monofilament ,Blue,100m,0.55mm,27kg,4,10,  33.80 
Lines,Simmons,Mono SS - 72lb Blue,Nylon monofilament ,Blue,100m,0.70mm,33kg,4,10,  35.80 
Lines,Simmons,Mono SS - 100lb Blue,Nylon monofilament ,Blue,100m,0.90mm,45kg,4,10,  37.80 
Lines,Simmons,Mono SS - 123lb Blue,Nylon monofilament ,Blue,100m,1.2mm,56kg,4,10,  39.80 
Lines,Syberia,Indiana - 3.5lb 350m Green,Nylon monofilament ,Light Green,350m,0.14mm,1.7kg,2.5,1,  44.80 
Lines,Syberia,Indiana - 5lb 350m Green,Nylon monofilament ,Light Green,350m,0.16mm,2.1kg,2.5,1,  38.80 
Lines,Syberia,Indiana - 8lb 350m Green,Nylon monofilament ,Light Green,350m,0.19mm,3.5kg,2.5,1,  35.80 
Lines,Syberia,Indiana - 11lb 350m Green,Nylon monofilament ,Light Green,350m,0.22mm,5kg,2.5,1,  34.40 
Lines,Syberia,Indiana - 16lb 350m Green,Nylon monofilament ,Light Green,350m,0.27mm,7.5kg,2.5,1,  38.80 
Lines,Syberia,Indiana - 23lb 350m Green,Nylon monofilament ,Light Green,350m,0.32mm,10.5kg,2.5,1,  41.80 
Lines,Syberia,Indiana - 28lb 350m Green,Nylon monofilament ,Light Green,350m,0.38mm,13kg,2.5,1,  41.80 
Lines,Syberia,Indiana - 35lb 350m Green,Nylon monofilament ,Light Green,350m,0.45mm,16kg,2.5,1,  44.90 
Lines,Syberia,Indiana - 3.5lb 350m Trns,Nylon monofilament ,Transparent ,350m,0.14mm,1.7kg,2.5,1,  44.80 
Lines,Syberia,Indiana - 5lb 350m Trns,Nylon monofilament ,Transparent ,350m,0.16mm,2.1kg,2.5,1,  38.80 
Lines,Syberia,Indiana - 8lb 350m Trns,Nylon monofilament ,Transparent ,350m,0.19mm,3.5kg,2.5,1,  35.80 
Lines,Syberia,Indiana - 11lb 350m Trns,Nylon monofilament ,Transparent ,350m,0.22mm,5kg,2.5,1,  34.40 
Lines,Syberia,Indiana - 16lb 350m Trns,Nylon monofilament ,Transparent ,350m,0.27mm,7.5kg,2.5,1,  38.80 
Lines,Syberia,Indiana - 23lb 350m Trns,Nylon monofilament ,Transparent ,350m,0.32mm,10.5kg,2.5,1,  41.80 
Lines,Syberia,Indiana - 28lb 350m Trns,Nylon monofilament ,Transparent ,350m,0.38mm,13kg,2.5,1,  41.80 
Lines,Syberia,Indiana - 35lb 350m Trns,Nylon monofilament ,Transparent ,350m,0.45mm,16kg,2.5,1,  44.90 
Lines,Snake,Power Line 4.8lb CLR 100m,Nylon monofilament ,Transparent ,100m,0.14mm,2.2kg,4.5,10,  55.70 
Lines,Snake,Power Line 5.5lb CLR 100m,Nylon monofilament ,Transparent ,100m,0.16mm,2.6kg,4.5,10,  55.70 
Lines,Snake,Power Line 7.5lb CLR 100m,Nylon monofilament ,Transparent ,100m,0.18mm,3.5kg,4.5,10,  57.70 
Lines,Snake,Power Line 9lb CLR 100m,Nylon monofilament ,Transparent ,100m,0.20mm,4.2kg,4.5,10,  57.70 
Lines,Snake,Power Line 14lb CLR 100m,Nylon monofilament ,Transparent ,100m,0.25mm,6.5kg,4.5,10,  59.70 
Lines,Snake,Power Line 17lb CLR 100m,Nylon monofilament ,Transparent ,100m,0.28mm,7.8kg,4.5,10,  59.70 
Lines,Snake,Power Line 21lb CLR 100m,Nylon monofilament ,Transparent ,100m,0.30mm,9.6kg,4.5,10,  62.70 
Lines,Snake,Power Line 28lb CLR 100m,Nylon monofilament ,Transparent ,100m,0.35mm,12.8kg,4.5,10,  62.70 
Lines,Snake,Power Line 33lb CLR 100m,Nylon monofilament ,Transparent ,100m,0.40mm,15.1kg,4.5,10,  65.70 
Lines,Snake,Power Line 37lb CLR 100m,Nylon monofilament ,Transparent ,100m,0.45mm,16.8kg,4.5,10,  65.70 
Lines,Snake,Power Line 45lb CLR 100m,Nylon monofilament ,Transparent ,100m,0.50mm,20.5kg,4.5,10,  67.70 
Lines,Snake,Power Line 54lb CLR 100m,Nylon monofilament ,Transparent ,100m,0.60mm,24.6kg,4.5,10,  69.70 
Lines,Snake,Power Line 4.8lb GRN 100m,Nylon monofilament ,Green,100m,0.14mm,2.2kg,4.5,10,  55.70 
Lines,Snake,Power Line 5.5lb GRN 100m,Nylon monofilament ,Green,100m,0.16mm,2.6kg,4.5,10,  55.70 
Lines,Snake,Power Line 7.5lb GRN 100m,Nylon monofilament ,Green,100m,0.18mm,3.5kg,4.5,10,  57.70 
Lines,Snake,Power Line 9lb GRN 100m,Nylon monofilament ,Green,100m,0.20mm,4.2kg,4.5,10,  57.70 
Lines,Snake,Power Line 14lb GRN 100m,Nylon monofilament ,Green,100m,0.25mm,6.5kg,4.5,10,  59.70 
Lines,Snake,Power Line 17lb GRN 100m,Nylon monofilament ,Green,100m,0.28mm,7.8kg,4.5,10,  59.70 
Lines,Snake,Power Line 21lb GRN 100m,Nylon monofilament ,Green,100m,0.30mm,9.6kg,4.5,10,  62.70 
Lines,Snake,Power Line 28lb GRN 100m,Nylon monofilament ,Green,100m,0.35mm,12.8kg,4.5,10,  62.70 
Lines,Snake,Power Line 33lb GRN 100m,Nylon monofilament ,Green,100m,0.40mm,15.1kg,4.5,10,  65.70 
Lines,Snake,Power Line 37lb GRN 100m,Nylon monofilament ,Green,100m,0.45mm,16.8kg,4.5,10,  65.70 
Lines,Snake,Power Line 45lb GRN 100m,Nylon monofilament ,Green,100m,0.50mm,20.5kg,4.5,10,  67.70 
Lines,Snake,Power Line 54lb GRN 100m,Nylon monofilament ,Green,100m,0.60mm,24.6kg,4.5,10,  69.70 
Lines,Simmons,Mono Original - 2.5lb Gray XL,Nylon monofilament ,Gray,350m,0.09mm,1.2kg,4,5,  81.80 
Lines,Simmons,Mono Original - 4lb Gray XL,Nylon monofilament ,Gray,350m,0.12mm,1.8kg,4,5,  78.80 
Lines,Simmons,Mono Original - 5lb Gray XL,Nylon monofilament ,Gray,350m,0.15mm,2.3kg,4,5,  75.80 
Lines,Simmons,Mono Original - 7.5lb Gray XL,Nylon monofilament ,Gray,350m,0.18mm,3.4kg,4,5,  72.80 
Lines,Simmons,Mono Original - 11.5lb Gray XL,Nylon monofilament ,Gray,350m,0.21mm,5.2kg,4,5,  66.80 
Lines,Simmons,Mono Original - 15lb Gray XL,Nylon monofilament ,Gray,350m,0.25mm,6.8kg,4,5,  66.80 
Lines,Simmons,Mono Original - 18lb Gray XL,Nylon monofilament ,Gray,350m,0.28mm,8kg,4,5,  66.80 
Lines,Simmons,Mono Original - 25lb Gray XL,Nylon monofilament ,Gray,350m,0.33mm,11.5kg,4,5,  66.80 
Lines,Simmons,Mono Original - 32lb Gray XL,Nylon monofilament ,Gray,350m,0.40mm,14.5kg,4,5,  66.80 
Lines,Simmons,Mono Original - 40lb Gray XL,Nylon monofilament ,Gray,350m,0.48mm,18kg,4,5,  75.80 
Lines,Simmons,Mono Original - 55lb Gray XL,Nylon monofilament ,Gray,350m,0.60mm,25kg,4,5,  84.80 
Lines,Simmons,Mono Original - 80lb Gray XL,Nylon monofilament ,Gray,350m,0.85mm,36kg,4,5,  88.80 
Lines,Simmons,Mono Original - 2.5lb Gray XL,Nylon monofilament ,White,350m,0.09mm,1.2kg,4,5,  81.80 
Lines,Simmons,Mono Original - 4lb White XL,Nylon monofilament ,White,350m,0.12mm,1.8kg,4,5,  78.80 
Lines,Simmons,Mono Original - 5lb White XL,Nylon monofilament ,White,350m,0.15mm,2.3kg,4,5,  75.80 
Lines,Simmons,Mono Original - 7.5lb White XL,Nylon monofilament ,White,350m,0.18mm,3.4kg,4,5,  72.80 
Lines,Simmons,Mono Original - 11.5lb White XL,Nylon monofilament ,White,350m,0.21mm,5.2kg,4,5,  66.80 
Lines,Simmons,Mono Original - 15lb White XL,Nylon monofilament ,White,350m,0.25mm,6.8kg,4,5,  66.80 
Lines,Simmons,Mono Original - 18lb White XL,Nylon monofilament ,White,350m,0.28mm,8kg,4,5,  66.80 
Lines,Simmons,Mono Original - 25lb White XL,Nylon monofilament ,White,350m,0.33mm,11.5kg,4,5,  66.80 
Lines,Simmons,Mono Original - 32lb White XL,Nylon monofilament ,White,350m,0.40mm,14.5kg,4,5,  66.80 
Lines,Simmons,Mono Original - 40lb White XL,Nylon monofilament ,White,350m,0.48mm,18kg,4,5,  75.80 
Lines,Simmons,Mono Original - 55lb White XL,Nylon monofilament ,White,350m,0.60mm,25kg,4,5,  84.80 
Lines,Simmons,Mono Original - 80lb White XL,Nylon monofilament ,White,350m,0.85mm,36kg,4,5,  88.80 
Lines,Snake,Heavy Line 13.5lb BWN 100m,Nylon monofilament ,Brown,100m,0.22mm,6.2kg,5,10,  74.50 
Lines,Snake,Heavy Line 23lb BWN 100m,Nylon monofilament ,Brown,100m,0.30mm,10.6kg,5,10,  74.50 
Lines,Snake,Heavy Line 38lb BWN 100m,Nylon monofilament ,Brown,100m,0.38mm,17.3kg,5,10,  74.50 
Lines,Snake,Heavy Line 48lb BWN 100m,Nylon monofilament ,Brown,100m,0.46mm,22kg,5,10,  76.50 
Lines,Snake,Heavy Line 62lb BWN 100m,Nylon monofilament ,Brown,100m,0.54mm,28.2kg,5,10,  78.50 
Lines,Snake,Heavy Line 70lb BWN 100m,Nylon monofilament ,Brown,100m,0.62mm,32kg,5,10,  79.50 
Lines,Snake,Heavy Line 80lb BWN 100m,Nylon monofilament ,Brown,100m,0.70mm,36.4kg,5,10,  80.50 
Lines,Snake,Heavy Line 96lb BWN 100m,Nylon monofilament ,Brown,100m,0.80mm,43.6kg,5,10,  81.50 
Lines,Snake,Heavy Line 108lb BWN 100m,Nylon monofilament ,Brown,100m,0.90mm,49kg,5,10,  83.50 
Lines,Snake,Heavy Line 132lb BWN 100m,Nylon monofilament ,Brown,100m,1.00mm,60kg,5,10,  88.50 
Lines,Snake,Heavy Line 170lb BWN 100m,Nylon monofilament ,Brown,100m,1.20mm,77.5kg,5,10,  94.50 
Lines,Snake,Heavy Line 13.5lb CLR 100m,Nylon monofilament ,Transparent ,100m,0.22mm,6.2kg,5,10,  74.50 
Lines,Snake,Heavy Line 23lb CLR 100m,Nylon monofilament ,Transparent ,100m,0.30mm,10.6kg,5,10,  74.50 
Lines,Snake,Heavy Line 38lb CLR 100m,Nylon monofilament ,Transparent ,100m,0.38mm,17.3kg,5,10,  74.50 
Lines,Snake,Heavy Line 48lb CLR 100m,Nylon monofilament ,Transparent ,100m,0.46mm,22kg,5,10,  76.50 
Lines,Snake,Heavy Line 62lb CLR 100m,Nylon monofilament ,Transparent ,100m,0.54mm,28.2kg,5,10,  78.50 
Lines,Snake,Heavy Line 70lb CLR 100m,Nylon monofilament ,Transparent ,100m,0.62mm,32kg,5,10,  79.50 
Lines,Snake,Heavy Line 80lb CLR 100m,Nylon monofilament ,Transparent ,100m,0.70mm,36.4kg,5,10,  80.50 
Lines,Snake,Heavy Line 96lb CLR 100m,Nylon monofilament ,Transparent ,100m,0.80mm,43.6kg,5,10,  81.50 
Lines,Snake,Heavy Line 108lb CLR 100m,Nylon monofilament ,Transparent ,100m,0.90mm,49kg,5,10,  83.50 
Lines,Snake,Heavy Line 132lb CLR 100m,Nylon monofilament ,Transparent ,100m,1.00mm,60kg,5,10,  88.50 
Lines,Snake,Heavy Line 170lb CLR 100m,Nylon monofilament ,Transparent ,100m,1.20mm,77.5kg,5,10,  94.50 
Lines,Snake,Heavy Line 13.5lb DGN 100m,Nylon monofilament ,Dark Green,100m,0.22mm,6.2kg,5,10,  74.50 
Lines,Snake,Heavy Line 23lb DGN 100m,Nylon monofilament ,Dark Green,100m,0.30mm,10.6kg,5,10,  74.50 
Lines,Snake,Heavy Line 38lb DGN 100m,Nylon monofilament ,Dark Green,100m,0.38mm,17.3kg,5,10,  74.50 
Lines,Snake,Heavy Line 48lb DGN 100m,Nylon monofilament ,Dark Green,100m,0.46mm,22kg,5,10,  76.50 
Lines,Snake,Heavy Line 62lb DGN 100m,Nylon monofilament ,Dark Green,100m,0.54mm,28.2kg,5,10,  78.50 
Lines,Snake,Heavy Line 70lb DGN 100m,Nylon monofilament ,Dark Green,100m,0.62mm,32kg,5,10,  79.50 
Lines,Snake,Heavy Line 80lb DGN 100m,Nylon monofilament ,Dark Green,100m,0.70mm,36.4kg,5,10,  80.50 
Lines,Snake,Heavy Line 96lb DGN 100m,Nylon monofilament ,Dark Green,100m,0.80mm,43.6kg,5,10,  81.50 
Lines,Snake,Heavy Line 108lb DGN 100m,Nylon monofilament ,Dark Green,100m,0.90mm,49kg,5,10,  83.50 
Lines,Snake,Heavy Line 132lb DGN 100m,Nylon monofilament ,Dark Green,100m,1.00mm,60kg,5,10,  88.50 
Lines,Snake,Heavy Line 170lb DGN 100m,Nylon monofilament ,Dark Green,100m,1.20mm,77.5kg,5,10,  94.50 
Lines,Snake,Heavy Line 13.5lb SMK 100m,Nylon monofilament ,Smoky Gray,100m,0.22mm,6.2kg,5,10,  74.50 
Lines,Snake,Heavy Line 23lb SMK 100m,Nylon monofilament ,Smoky Gray,100m,0.30mm,10.6kg,5,10,  74.50 
Lines,Snake,Heavy Line 38lb SMK 100m,Nylon monofilament ,Smoky Gray,100m,0.38mm,17.3kg,5,10,  74.50 
Lines,Snake,Heavy Line 48lb SMK 100m,Nylon monofilament ,Smoky Gray,100m,0.46mm,22kg,5,10,  76.50 
Lines,Snake,Heavy Line 62lb SMK 100m,Nylon monofilament ,Smoky Gray,100m,0.54mm,28.2kg,5,10,  78.50 
Lines,Snake,Heavy Line 70lb SMK 100m,Nylon monofilament ,Smoky Gray,100m,0.62mm,32kg,5,10,  79.50 
Lines,Snake,Heavy Line 80lb SMK 100m,Nylon monofilament ,Smoky Gray,100m,0.70mm,36.4kg,5,10,  80.50 
Lines,Snake,Heavy Line 96lb SMK 100m,Nylon monofilament ,Smoky Gray,100m,0.80mm,43.6kg,5,10,  81.50 
Lines,Snake,Heavy Line 108lb SMK 100m,Nylon monofilament ,Smoky Gray,100m,0.90mm,49kg,5,10,  83.50 
Lines,Snake,Heavy Line 132lb SMK 100m,Nylon monofilament ,Smoky Gray,100m,1.00mm,60kg,5,10,  88.50 
Lines,Snake,Heavy Line 170lb SMK 100m,Nylon monofilament ,Smoky Gray,100m,1.20mm,77.5kg,5,10,  94.50 
Lines,Snake,Invisible 3.3lb BRZ 100m,Nylon monofilament ,Bronze,100m,0.08mm,1.5kg,5,12,  74.80 
Lines,Snake,Invisible 3.3lb BRZ 100m,Nylon monofilament ,Bronze,100m,0.10mm,1.9kg,5,12,  74.80 
Lines,Snake,Invisible 3.3lb BRZ 100m,Nylon monofilament ,Bronze,100m,0.12mm,2.5kg,5,12,  74.80 
Lines,Snake,Invisible 3.3lb BRZ 100m,Nylon monofilament ,Bronze,100m,0.14mm,3.2kg,5,12,  74.80 
Lines,Snake,Invisible 3.3lb BRZ 100m,Nylon monofilament ,Bronze,100m,0.16mm,3.7kg,5,12,  74.80 
Lines,Snake,Invisible 3.3lb BRZ 100m,Nylon monofilament ,Bronze,100m,0.18mm,4.4kg,5,12,  74.80 
Lines,Snake,Invisible 3.3lb BRZ 100m,Nylon monofilament ,Bronze,100m,0.20mm,5.5kg,5,12,  74.80 
Lines,Snake,Invisible 3.3lb CLR 100m,Nylon monofilament ,Transparent ,100m,0.08mm,1.5kg,5,12,  74.80 
Lines,Snake,Invisible 3.3lb CLR 100m,Nylon monofilament ,Transparent ,100m,0.10mm,1.9kg,5,12,  74.80 
Lines,Snake,Invisible 3.3lb CLR 100m,Nylon monofilament ,Transparent ,100m,0.12mm,2.5kg,5,12,  74.80 
Lines,Snake,Invisible 3.3lb CLR 100m,Nylon monofilament ,Transparent ,100m,0.14mm,3.2kg,5,12,  74.80 
Lines,Snake,Invisible 3.3lb CLR 100m,Nylon monofilament ,Transparent ,100m,0.16mm,3.7kg,5,12,  74.80 
Lines,Snake,Invisible 3.3lb CLR 100m,Nylon monofilament ,Transparent ,100m,0.18mm,4.4kg,5,12,  74.80 
Lines,Snake,Invisible 3.3lb CLR 100m,Nylon monofilament ,Transparent ,100m,0.20mm,5.5kg,5,12,  74.80 
Lines,Snake,Invisible 3.3lb EMD 100m,Nylon monofilament ,Emarald,100m,0.08mm,1.5kg,5,12,  74.80 
Lines,Snake,Invisible 3.3lb EMD 100m,Nylon monofilament ,Emarald,100m,0.10mm,1.9kg,5,12,  74.80 
Lines,Snake,Invisible 3.3lb EMD 100m,Nylon monofilament ,Emarald,100m,0.12mm,2.5kg,5,12,  74.80 
Lines,Snake,Invisible 3.3lb EMD 100m,Nylon monofilament ,Emarald,100m,0.14mm,3.2kg,5,12,  74.80 
Lines,Snake,Invisible 3.3lb EMD 100m,Nylon monofilament ,Emarald,100m,0.16mm,3.7kg,5,12,  74.80 
Lines,Snake,Invisible 3.3lb EMD 100m,Nylon monofilament ,Emarald,100m,0.18mm,4.4kg,5,12,  74.80 
Lines,Snake,Invisible 3.3lb EMD 100m,Nylon monofilament ,Emarald,100m,0.20mm,5.5kg,5,12,  74.80 
Lines,Snake,Ultra Line 7.5lb BLU 100m,Nylon monofilament ,Blue,100m,0.16mm,3.4kg,5,12,  89.70 
Lines,Snake,Ultra Line 9lb BLU 100m,Nylon monofilament ,Blue,100m,0.18mm,4.2kg,5,12,  89.70 
Lines,Snake,Ultra Line 11lb BLU 100m,Nylon monofilament ,Blue,100m,0.20mm,5kg,5,12,  89.70 
Lines,Snake,Ultra Line 16.5lb BLU 100m,Nylon monofilament ,Blue,100m,0.25mm,7.6kg,5,12,  94.70 
Lines,Snake,Ultra Line 19lb BLU 100m,Nylon monofilament ,Blue,100m,0.28mm,8.7kg,5,12,  94.70 
Lines,Snake,Ultra Line 25lb BLU 100m,Nylon monofilament ,Blue,100m,0.30mm,11.3kg,5,12,  95.70 
Lines,Snake,Ultra Line 30lb BLU 100m,Nylon monofilament ,Blue,100m,0.35mm,14kg,5,12,  97.70 
Lines,Snake,Ultra Line 38lb BLU 100m,Nylon monofilament ,Blue,100m,0.40mm,17.3kg,5,12,  99.70 
Lines,Snake,Ultra Line 42lb BLU 100m,Nylon monofilament ,Blue,100m,0.45mm,19.1kg,5,12,  102.70 
Lines,Snake,Ultra Line 52lb BLU 100m,Nylon monofilament ,Blue,100m,0.50mm,23.7kg,5,12,  104.70 
Lines,Snake,Ultra Line 62lb BLU 100m,Nylon monofilament ,Blue,100m,0.60mm,28.2kg ,5,12,  107.70 
Lines,Snake,Ultra Line 72lb BLU 100m,Nylon monofilament ,Blue,100m,0.70mm,32.8kg,5,12,  108.70 
Lines,Snake,Ultra Line 84lb BLU 100m,Nylon monofilament ,Blue,100m,0.80mm,38.1kg,5,12,  109.70 
Lines,Snake,Ultra Line 7.5lb CLR 100m,Nylon monofilament ,Transparent ,100m,0.16mm,3.4kg,5,12,  89.70 
Lines,Snake,Ultra Line 9lb CLR 100m,Nylon monofilament ,Transparent ,100m,0.18mm,4.2kg,5,12,  89.70 
Lines,Snake,Ultra Line 11lb CLR 100m,Nylon monofilament ,Transparent ,100m,0.20mm,5kg,5,12,  89.70 
Lines,Snake,Ultra Line 16.5lb CLR 100m,Nylon monofilament ,Transparent ,100m,0.25mm,7.6kg,5,12,  94.70 
Lines,Snake,Ultra Line 19lb CLR 100m,Nylon monofilament ,Transparent ,100m,0.28mm,8.7kg,5,12,  94.70 
Lines,Snake,Ultra Line 25lb CLR 100m,Nylon monofilament ,Transparent ,100m,0.30mm,11.3kg,5,12,  95.70 
Lines,Snake,Ultra Line 30lb CLR 100m,Nylon monofilament ,Transparent ,100m,0.35mm,14kg,5,12,  97.70 
Lines,Snake,Ultra Line 38lb CLR 100m,Nylon monofilament ,Transparent ,100m,0.40mm,17.3kg,5,12,  99.70 
Lines,Snake,Ultra Line 42lb CLR 100m,Nylon monofilament ,Transparent ,100m,0.45mm,19.1kg,5,12,  102.70 
Lines,Snake,Ultra Line 52lb CLR 100m,Nylon monofilament ,Transparent ,100m,0.50mm,23.7kg,5,12,  104.70 
Lines,Snake,Ultra Line 62lb CLR 100m,Nylon monofilament ,Transparent ,100m,0.60mm,28.2kg ,5,12,  107.70 
